time;Azymut:;KÄ…t Pitch:;KÄ…t Roll:
549;-1,935;-24,283;4,267
550;-3,004;-23,361;3,745
551;0,364;-22,927;5,471
552;3,584;-22,994;7,107
553;4,596;-22,994;7,107
554;4,405;-24,396;7,111
555;6,61;-24,4;8,21
556;5,8;-24,4;8,21
557;3,417;-15,514;6,589
558;-10,518;-5,89;3,655
559;-29,536;-4,14;0,948
560;-28,519;-4,14;0,948
561;-37,12;-3,054;-0,045
562;-43,28;-3,896;-2,191
563;-56,014;-3,298;-5,756
564;-65,709;-3,298;-5,756
565;-83,848;-0,071;-10,555
566;-97,983;4,202;-12,545
567;-101,487;5,404;-12,802
568;-101,063;5,211;-12,579
569;-101,88;5,211;-12,579
570;-93,358;2,823;-11,354
571;-69,054;-1,562;-6,926
572;-35,726;-4,89;-2,661
573;-10,123;-8,524;0,386
574;0,954;-11,729;2,472
575;0,594;-14,986;2,42
576;2,421;-14,986;2,42
577;1,629;-16,89;2,225
578;1,039;-17,262;2,029
579;3,801;-16,469;2,943
580;4,449;-16,469;2,943
581;5,227;-14,351;3,038
582;1,215;-14,776;1,762
583;-4,259;-15,457;-0,074
584;-5,642;-15,325;-0,531
585;-8,191;-15,325;-0,531
586;-7,575;-13,969;-0,156
587;-4,788;-14,496;0,656
588;0,502;-14,968;2,313
589;-1,104;-14,968;2,313
590;1,981;-16,249;3,373
591;3,299;-18,149;3,939
592;3,78;-17,007;4,053
593;0,556;-17,007;4,053
594;-1,138;-14,791;3,501
595;-7,523;-17;1,209
596;-1,492;-16,49;3,348
597;0,53;-16,49;3,348
598;28,703;-4,442;7,411
599;-50,069;1,885;1,446
600;-109,726;4,708;-0,674
601;-53,09;2,312;1,818
602;-94,025;2,312;1,818
603;90,797;2,267;6,546
604;101,655;5,687;19,146
605;102,757;5,687;19,146
606;111,901;6,759;14,551
607;128,855;5,948;7,443
608;139,945;4,276;4,336
609;130,812;4,276;4,336
610;102,347;2,11;3,927
611;84,743;1,228;4,027
612;34,313;-1,372;3,076
613;35,609;-1,372;3,076
614;18,122;-2,741;2,765
615;-10,331;-5,276;0,613
616;-20,646;-5,279;-0,524
617;-23,323;-5,868;-1,093
618;-27,539;-5,868;-1,093
619;-45,65;-4,688;-3,149
620;-51,763;-3,551;-3,026
621;-59,295;-1,783;-1,806
622;-63,97;-1,783;-1,806
623;-50,655;-2,055;-0,792
624;-14,505;-2,874;0,82
625;51,56;-1,709;3,481
626;64,784;-1,709;3,481
627;81,734;-0,812;4,405
628;69,483;-1,9;4,801
629;43,507;-4,052;3,947
630;39,788;-4,052;3,947
631;6,257;-6,236;1,531
632;-7,421;-8,014;-0,102
633;-11,077;-8,741;-0,742
634;1,27;-7,354;1,044
635;-5,08;-7,354;1,044
636;14,23;-6,229;3,121
637;31,764;-6,015;5,096
638;57,866;-4,269;7,714
639;58,441;-4,269;7,714
640;29,381;-6,853;4,567
641;41,291;-4,961;5,091
642;51,996;-4,014;5,897
643;46,583;-4,014;5,897
644;6,521;-8,507;2,625
